bc,L,n,c,delta,samples,zeta_s,zeta_s_err,W2_direct,W2_parseval
free,2048,0.8,1.0,1.0,100,1.487029,0.014371,9826350523.681236,9826350523.681242
free,8192,0.8,1.0,1.0,100,1.503293,0.008096,1359431464587.549561,1359431464587.549805
free,32768,0.8,1.0,1.0,100,1.503125,0.003702,333453007813396.437500,333453007813396.437500
free,131072,0.8,1.0,1.0,100,1.495123,0.001870,42467494934316800.000000,42467494934316768.000000
free,524288,0.8,1.0,1.0,100,1.498896,0.000914,4414950051816384000.000000,4414950051816384000.000000
free,1048576,0.8,1.0,1.0,100,1.499958,0.000637,56076500483960168448.000000,56076500483960152064.000000
free,2097152,0.8,1.0,1.0,100,1.499051,0.000473,1383214899952224305152.000000,1383214899952223518720.000000
free,2048,0.85,1.0,1.0,100,1.493858,0.014058,1830097067.679742,1830097067.679742
free,8192,0.85,1.0,1.0,100,1.504964,0.007273,183120052746.098450,183120052746.098511
free,32768,0.85,1.0,1.0,100,1.501777,0.003465,31211391897795.785156,31211391897795.796875
free,131072,0.85,1.0,1.0,100,1.496468,0.001725,2851088385575343.000000,2851088385575343.500000
free,524288,0.85,1.0,1.0,100,1.498628,0.000849,223528554537413888.000000,223528554537413824.000000
free,1048576,0.85,1.0,1.0,100,1.499811,0.000597,2410163508429843968.000000,2410163508429842432.000000
free,2097152,0.85,1.0,1.0,100,1.499205,0.000432,45895853376401883136.000000,45895853376401899520.000000
free,2048,0.9,1.0,1.0,100,1.501278,0.014114,529762181.314827,529762181.314827
free,8192,0.9,1.0,1.0,100,1.505407,0.006706,41521739471.944817,41521739471.944847
free,32768,0.9,1.0,1.0,100,1.500870,0.003343,5377422603138.294922,5377422603138.298828
free,131072,0.9,1.0,1.0,100,1.497345,0.001654,384224517166528.937500,384224517166529.187500
free,524288,0.9,1.0,1.0,100,1.498618,0.000818,24477516097482936.000000,24477516097482932.000000
free,1048576,0.9,1.0,1.0,100,1.499667,0.000578,233284596288007584.000000,233284596288007584.000000
free,2097152,0.9,1.0,1.0,100,1.499343,0.000413,3679421832019417600.000000,3679421832019417088.000000
free,2048,1.0,1.0,1.0,100,1.509961,0.014349,96462527.920145,96462527.920145
free,8192,1.0,1.0,1.0,100,1.503793,0.006130,5372167000.364802,5372167000.364802
free,32768,1.0,1.0,1.0,100,1.499947,0.003279,472223153120.797180,472223153120.797119
free,131072,1.0,1.0,1.0,100,1.498663,0.001614,24059093599669.761719,24059093599669.773438
free,524288,1.0,1.0,1.0,100,1.498983,0.000802,1151768256591164.750000,1151768256591164.000000
free,1048576,1.0,1.0,1.0,100,1.499588,0.000569,9226366709991070.000000,9226366709991066.000000
free,2097152,1.0,1.0,1.0,100,1.499685,0.000403,112732319266736336.000000,112732319266736352.000000
free,2048,1.1,1.0,1.0,100,1.505870,0.014307,31698257.979992,31698257.979992
free,8192,1.1,1.0,1.0,100,1.497951,0.006057,1407607932.841302,1407607932.841303
free,32768,1.1,1.0,1.0,100,1.497966,0.003313,95334516664.421188,95334516664.421188
