bc,L,n,c,delta,samples,zeta_s,zeta_s_err,W2_direct,W2_parseval
free,1048576,0.8,1.0,1.0,1000,1.492723,0.002945,77123192358768066560.000000,77123192358768181248.000000
free,1048576,0.85,1.0,1.0,1000,1.496177,0.002510,3266105329649180160.000000,3266105329649179648.000000
free,1048576,0.9,1.0,1.0,1000,1.498945,0.002274,311194458589743232.000000,311194458589743040.000000
free,1048576,1.0,1.0,1.0,1000,1.499593,0.002151,11965421813119136.000000,11965421813119134.000000
free,1048576,1.1,1.0,1.0,1000,1.492551,0.002304,1395812116351168.250000,1395812116351169.750000
free,1048576,1.3,1.0,1.0,1000,1.465091,0.002732,98060491587075.328125,98060491587075.515625
free,1048576,1.5,1.0,1.0,1000,1.434989,0.002972,20285656040513.847656,20285656040513.796875
free,1048576,2.0,1.0,1.0,1000,1.378835,0.003133,2539697602489.417480,2539697602489.424316
free,1048576,3.0,1.0,1.0,1000,1.323491,0.003131,491971690328.708557,491971690328.708313
free,1048576,4.0,1.0,1.0,1000,1.297772,0.003106,244982632849.579926,244982632849.579346
free,131072,0.8,1.0,1.0,1000,1.495885,0.002961,50040475735676560.000000,50040475735676568.000000
free,131072,0.85,1.0,1.0,1000,1.498255,0.002612,3330272588610904.500000,3330272588610901.000000
free,131072,0.9,1.0,1.0,1000,1.500202,0.002489,446344269764548.312500,446344269764547.937500
free,131072,1.0,1.0,1.0,1000,1.499967,0.002399,27758461360074.480469,27758461360074.480469
free,131072,1.1,1.0,1.0,1000,1.492890,0.002396,4471179346442.866211,4471179346442.869141
free,131072,1.3,1.0,1.0,1000,1.466350,0.002556,471349926975.305603,471349926975.305176
free,131072,1.5,1.0,1.0,1000,1.437192,0.002694,124574468627.990662,124574468627.990753
free,131072,2.0,1.0,1.0,1000,1.382388,0.002812,21662700581.594814,21662700581.594795
free,131072,3.0,1.0,1.0,1000,1.328008,0.002836,5467592096.243678,5467592096.243667
free,131072,4.0,1.0,1.0,1000,1.302652,0.002834,3051251482.632337,3051251482.632335
free,2048,0.8,1.0,1.0,1000,1.490954,0.002969,9834162248.961023,9834162248.961018
free,2048,0.85,1.0,1.0,1000,1.494836,0.002876,1808312046.678834,1808312046.678838
free,2048,0.9,1.0,1.0,1000,1.497909,0.002888,518681065.585528,518681065.585528
free,2048,1.0,1.0,1.0,1000,1.498686,0.002967,93412430.440127,93412430.440127
free,2048,1.1,1.0,1.0,1000,1.491294,0.003021,30532265.740191,30532265.740191
free,2048,1.3,1.0,1.0,1000,1.462759,0.003009,7785026.339392,7785026.339392
free,2048,1.5,1.0,1.0,1000,1.431808,0.002934,3492881.699144,3492881.699144
free,2048,2.0,1.0,1.0,1000,1.374562,0.002812,1228997.370969,1228997.370969
free,2048,3.0,1.0,1.0,1000,1.318401,0.002756,544744.288429,544744.288429
free,2048,4.0,1.0,1.0,1000,1.292287,0.002750,386901.411994,386901.411994
free,2097152,0.8,1.0,1.0,1000,1.490715,0.003368,1013603540233323675648.000000,1013603540233323544576.000000
free,2097152,0.85,1.0,1.0,1000,1.494472,0.003126,35702801752427827200.000000,35702801752427790336.000000
free,2097152,0.9,1.0,1.0,1000,1.496933,0.003013,2974935727000358912.000000,2974935727000363520.000000
free,2097152,1.0,1.0,1.0,1000,1.495670,0.002922,95320323312338176.000000,95320323312338256.000000
free,2097152,1.1,1.0,1.0,1000,1.486265,0.002907,9877525136582572.000000,9877525136582558.000000
free,2097152,1.3,1.0,1.0,1000,1.455334,0.002956,600287403347142.000000,600287403347142.875000
free,2097152,1.5,1.0,1.0,1000,1.423497,0.002986,114004024171185.453125,114004024171185.578125
free,2097152,2.0,1.0,1.0,1000,1.366033,0.002974,12754758865972.714844,12754758865972.707031
free,2097152,3.0,1.0,1.0,1000,1.310569,0.002924,2260839357150.081055,2260839357150.080078
free,2097152,4.0,1.0,1.0,1000,1.285022,0.002897,1084105572881.055420,1084105572881.054810
free,32768,0.8,1.0,1.0,1000,1.492862,0.002608,257457053311356.468750,257457053311356.937500
free,32768,0.85,1.0,1.0,1000,1.496711,0.002397,24429364052712.960938,24429364052712.945312
free,32768,0.9,1.0,1.0,1000,1.499856,0.002388,4268643091321.996094,4268643091321.991699
free,32768,1.0,1.0,1.0,1000,1.501368,0.002491,384320435053.651367,384320435053.651123
free,32768,1.1,1.0,1.0,1000,1.495458,0.002575,79144667459.860458,79144667459.860382
free,32768,1.3,1.0,1.0,1000,1.470401,0.002720,11329479795.812775,11329479795.812775
free,32768,1.5,1.0,1.0,1000,1.442097,0.002836,3595240905.938913,3595240905.938912
free,32768,2.0,1.0,1.0,1000,1.388134,0.002965,797205056.294682,797205056.294683
free,32768,3.0,1.0,1.0,1000,1.333966,0.003007,244233048.923453,244233048.923454
free,32768,4.0,1.0,1.0,1000,1.308545,0.003009,148071097.432631,148071097.432631
free,524288,0.8,1.0,1.0,1000,1.494377,0.003131,6326641129711316992.000000,6326641129711320064.000000
free,524288,0.85,1.0,1.0,1000,1.499174,0.002853,310014004679906432.000000,310014004679906752.000000
free,524288,0.9,1.0,1.0,1000,1.502823,0.002761,33019317319352096.000000,33019317319352108.000000
free,524288,1.0,1.0,1.0,1000,1.504265,0.002761,1488256927163725.750000,1488256927163726.500000
free,524288,1.1,1.0,1.0,1000,1.497363,0.002826,193384244756415.312500,193384244756415.156250
free,524288,1.3,1.0,1.0,1000,1.469639,0.002929,15580729824773.253906,15580729824773.269531
free,524288,1.5,1.0,1.0,1000,1.439205,0.002942,3503392086992.239258,3503392086992.237793
free,524288,2.0,1.0,1.0,1000,1.382517,0.002866,490855538038.680298,490855538038.681030
free,524288,3.0,1.0,1.0,1000,1.326751,0.002758,104162052958.723007,104162052958.723175
free,524288,4.0,1.0,1.0,1000,1.300864,0.002711,53952771924.778625,53952771924.778625
free,8192,0.8,1.0,1.0,1000,1.488856,0.003012,1557742285633.756104,1557742285633.754883
free,8192,0.85,1.0,1.0,1000,1.492266,0.002793,207033167601.113770,207033167601.113556
free,8192,0.9,1.0,1.0,1000,1.494927,0.002738,46556979313.774803,46556979313.774834
